Frequency,Amplitude
 1.1085 kHz, 0.88803 V
 1.1133 kHz, 0.88752 V
 1.1231 kHz, 0.88366 V
 1.1328 kHz, 0.88383 V
 1.1328 kHz, 0.88400 V
 1.1523 kHz, 0.87997 V
 1.1523 kHz, 0.87997 V
 1.1716 kHz, 0.87610 V
 1.1719 kHz, 0.87593 V
 1.1772 kHz, 0.87593 V
 1.1914 kHz, 0.87207 V
 1.1914 kHz, 0.87207 V
 1.2109 kHz, 0.86787 V
 1.2109 kHz, 0.86787 V
 1.2202 kHz, 0.86552 V
 1.2305 kHz, 0.86401 V
 1.2305 kHz, 0.86418 V
 1.2500 kHz, 0.85998 V
 1.2500 kHz, 0.85998 V
 1.2695 kHz, 0.85561 V
 1.2695 kHz, 0.85578 V
 1.2813 kHz, 0.85209 V
 1.2891 kHz, 0.85192 V
 1.2891 kHz, 0.85175 V
 1.3086 kHz, 0.84789 V
 1.3086 kHz, 0.84755 V
 1.3278 kHz, 0.84386 V
 1.3281 kHz, 0.84369 V
 1.3361 kHz, 0.83933 V
 1.3477 kHz, 0.83933 V
 1.3477 kHz, 0.83983 V
 1.3672 kHz, 0.83580 V
 1.3672 kHz, 0.83580 V
 1.3828 kHz, 0.83160 V
 1.3867 kHz, 0.83160 V
 1.3867 kHz, 0.83160 V
 1.4062 kHz, 0.82740 V
 1.4063 kHz, 0.82774 V
 1.4258 kHz, 0.82354 V
 1.4258 kHz, 0.82337 V
 1.4378 kHz, 0.81968 V
 1.4453 kHz, 0.81951 V
 1.4456 kHz, 0.81951 V
 1.4649 kHz, 0.81565 V
 1.4648 kHz, 0.81514 V
 1.4844 kHz, 0.81145 V
 1.4844 kHz, 0.81145 V
 1.4955 kHz, 0.80742 V
 1.5039 kHz, 0.80775 V
 1.5039 kHz, 0.80742 V
 1.5234 kHz, 0.80339 V
 1.5234 kHz, 0.80356 V
 1.5430 kHz, 0.79919 V
 1.5430 kHz, 0.79936 V
 1.5495 kHz, 0.79751 V
 1.5625 kHz, 0.79533 V
 1.5625 kHz, 0.79550 V
 1.5820 kHz, 0.79163 V
 1.5820 kHz, 0.79146 V
 1.6016 kHz, 0.78777 V
 1.6016 kHz, 0.78760 V
 1.6128 kHz, 0.78374 V
 1.6211 kHz, 0.78324 V
 1.6211 kHz, 0.78374 V
 1.6406 kHz, 0.77971 V
 1.6406 kHz, 0.77921 V
 1.6601 kHz, 0.77568 V
 1.6602 kHz, 0.77551 V
 1.6716 kHz, 0.77165 V
 1.6797 kHz, 0.77198 V
 1.6797 kHz, 0.77182 V
 1.6992 kHz, 0.76795 V
 1.6992 kHz, 0.76779 V
 1.7188 kHz, 0.76392 V
 1.7187 kHz, 0.76376 V
 1.7312 kHz, 0.76006 V
 1.7383 kHz, 0.76006 V
 1.7405 kHz, 0.76023 V
 1.7578 kHz, 0.75637 V
 1.7578 kHz, 0.75620 V
 1.7773 kHz, 0.75250 V
 1.7773 kHz, 0.75234 V
 1.7841 kHz, 0.75200 V
 1.7969 kHz, 0.74864 V
 1.7969 kHz, 0.74864 V
 1.8164 kHz, 0.74478 V
 1.8164 kHz, 0.74478 V
 1.8322 kHz, 0.74109 V
 1.8359 kHz, 0.74092 V
 1.8393 kHz, 0.74075 V
 1.8555 kHz, 0.73756 V
 1.8555 kHz, 0.73722 V
 1.8750 kHz, 0.73353 V
 1.8750 kHz, 0.73353 V
 1.8911 kHz, 0.72950 V
 1.8945 kHz, 0.72967 V
 1.8998 kHz, 0.72967 V
 1.9141 kHz, 0.72597 V
 1.9141 kHz, 0.72580 V
 1.9336 kHz, 0.72244 V
 1.9336 kHz, 0.72228 V
 1.9496 kHz, 0.71875 V
 1.9531 kHz, 0.71858 V
 1.9720 kHz, 0.71472 V
 1.9727 kHz, 0.71506 V
 1.9884 kHz, 0.71136 V
 1.9922 kHz, 0.71136 V
 1.9948 kHz, 0.71136 V
 2.0117 kHz, 0.70750 V
 2.0117 kHz, 0.70767 V
 2.0313 kHz, 0.70380 V
 2.0312 kHz, 0.70431 V
 2.0390 kHz, 0.70397 V
 2.0508 kHz, 0.70028 V
 2.0508 kHz, 0.70061 V
 2.0703 kHz, 0.69709 V
 2.0703 kHz, 0.69675 V
 2.0870 kHz, 0.69322 V
 2.0898 kHz, 0.69356 V
 2.0942 kHz, 0.69356 V
 2.1094 kHz, 0.68970 V
 2.1094 kHz, 0.68987 V
 2.1289 kHz, 0.68651 V
 2.1289 kHz, 0.68634 V
 2.1400 kHz, 0.68264 V
 2.1484 kHz, 0.68315 V
 2.1484 kHz, 0.68298 V
 2.1680 kHz, 0.67962 V
 2.1680 kHz, 0.67929 V
 2.1875 kHz, 0.67626 V
 2.1875 kHz, 0.67610 V
 2.1958 kHz, 0.67290 V
 2.2070 kHz, 0.67240 V
 2.2070 kHz, 0.67257 V
 2.2266 kHz, 0.66921 V
 2.2266 kHz, 0.66938 V
 2.2455 kHz, 0.66585 V
 2.2461 kHz, 0.66585 V
 2.2555 kHz, 0.66249 V
 2.2656 kHz, 0.66266 V
 2.2656 kHz, 0.66249 V
 2.2852 kHz, 0.65913 V
 2.2852 kHz, 0.65913 V
 2.3028 kHz, 0.65611 V
 2.3047 kHz, 0.65594 V
 2.3108 kHz, 0.65443 V
 2.3242 kHz, 0.65258 V
 2.3242 kHz, 0.65292 V
 2.3438 kHz, 0.64956 V
 2.3437 kHz, 0.64956 V
 2.3633 kHz, 0.64620 V
 2.3633 kHz, 0.64604 V
 2.3720 kHz, 0.64318 V
 2.3828 kHz, 0.64268 V
 2.3828 kHz, 0.64318 V
 2.4023 kHz, 0.63982 V
 2.4023 kHz, 0.63965 V
 2.4169 kHz, 0.63680 V
 2.4219 kHz, 0.63680 V
 2.4253 kHz, 0.63663 V
 2.4414 kHz, 0.63344 V
 2.4414 kHz, 0.63344 V
 2.4609 kHz, 0.63025 V
 2.4610 kHz, 0.63025 V
 2.4787 kHz, 0.62723 V
 2.4805 kHz, 0.62723 V
 2.4853 kHz, 0.62689 V
 2.5000 kHz, 0.62404 V
 2.5000 kHz, 0.62370 V
 2.5195 kHz, 0.62085 V
 2.5195 kHz, 0.62085 V
 2.5300 kHz, 0.61799 V
 2.5391 kHz, 0.61816 V
 2.5391 kHz, 0.61782 V
 2.5586 kHz, 0.61480 V
 2.5586 kHz, 0.61480 V
 2.5753 kHz, 0.61195 V
 2.5781 kHz, 0.61195 V
 2.5817 kHz, 0.61178 V
 2.5977 kHz, 0.60926 V
 2.5977 kHz, 0.60875 V
 2.6172 kHz, 0.60607 V
 2.6172 kHz, 0.60590 V
 2.6284 kHz, 0.60288 V
 2.6367 kHz, 0.60304 V
 2.6374 kHz, 0.60304 V
 2.6562 kHz, 0.60019 V
 2.6563 kHz, 0.60002 V
 2.6758 kHz, 0.59734 V
 2.6758 kHz, 0.59734 V
 2.6899 kHz, 0.59431 V
 2.6953 kHz, 0.59414 V
 2.6987 kHz, 0.59398 V
 2.7148 kHz, 0.59146 V
 2.7148 kHz, 0.59129 V
 2.7344 kHz, 0.58860 V
 2.7344 kHz, 0.58860 V
 2.7453 kHz, 0.58575 V
 2.7539 kHz, 0.58592 V
 2.7539 kHz, 0.58592 V
 2.7735 kHz, 0.58323 V
 2.7734 kHz, 0.58289 V
 2.7930 kHz, 0.58021 V
 2.7930 kHz, 0.58004 V
 2.8025 kHz, 0.57735 V
 2.8125 kHz, 0.57735 V
 2.8125 kHz, 0.57735 V
 2.8320 kHz, 0.57450 V
 2.8320 kHz, 0.57466 V
 2.8516 kHz, 0.57215 V
 2.8516 kHz, 0.57215 V
