micr_micr_array_ADC,micr_micr_ADC
405.0,394.0
147.0,148.0
147.0,147.0
155.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
146.0,148.0
148.0,147.0
147.0,148.0
148.0,148.0
147.0,148.0
147.0,148.0
147.0,147.0
147.0,147.0
148.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,148.0
147.0,147.0
147.0,147.0
148.0,147.0
148.0,147.0
147.0,155.0
154.0,154.0
148.0,148.0
155.0,148.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,154.0
147.0,147.0
147.0,147.0
147.0,147.0
148.0,155.0
147.0,147.0
148.0,147.0
147.0,147.0
152.0,155.0
147.0,147.0
147.0,147.0
147.0,147.0
155.0,155.0
147.0,147.0
147.0,148.0
147.0,147.0
155.0,155.0
154.0,154.0
147.0,147.0
155.0,147.0
148.0,147.0
147.0,147.0
147.0,147.0
155.0,147.0
147.0,147.0
147.0,147.0
148.0,147.0
155.0,147.0
147.0,147.0
148.0,147.0
147.0,147.0
155.0,147.0
147.0,147.0
146.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
148.0,147.0
147.0,147.0
147.0,147.0
155.0,154.0
148.0,147.0
148.0,147.0
147.0,155.0
147.0,147.0
147.0,148.0
147.0,148.0
147.0,147.0
147.0,147.0
147.0,147.0
152.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
148.0,147.0
147.0,155.0
147.0,148.0
147.0,147.0
148.0,147.0
155.0,155.0
147.0,147.0
147.0,147.0
148.0,147.0
155.0,154.0
147.0,147.0
147.0,147.0
155.0,155.0
147.0,147.0
147.0,147.0
147.0,147.0
155.0,155.0
148.0,148.0
147.0,147.0
147.0,147.0
155.0,155.0
147.0,148.0
147.0,148.0
148.0,147.0
155.0,155.0
146.0,147.0
147.0,147.0
147.0,147.0
155.0,156.0
147.0,148.0
148.0,147.0
147.0,147.0
154.0,155.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
148.0,147.0
147.0,148.0
147.0,147.0
147.0,147.0
147.0,148.0
147.0,148.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,152.0
148.0,147.0
147.0,147.0
147.0,146.0
148.0,148.0
147.0,147.0
147.0,147.0
154.0,154.0
155.0,148.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,154.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,155.0
148.0,147.0
147.0,146.0
147.0,147.0
155.0,155.0
147.0,147.0
147.0,147.0
147.0,147.0
155.0,155.0
147.0,146.0
147.0,147.0
147.0,147.0
156.0,156.0
148.0,147.0
154.0,154.0
155.0,147.0
147.0,147.0
148.0,147.0
147.0,148.0
155.0,147.0
147.0,147.0
147.0,147.0
148.0,147.0
148.0,148.0
147.0,147.0
148.0,147.0
147.0,147.0
147.0,148.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,148.0
147.0,147.0
147.0,151.0
147.0,147.0
154.0,154.0
148.0,147.0
147.0,147.0
147.0,147.0
147.0,147.0
150.0,147.0
148.0,147.0
147.0,147.0
147.0,147.0
148.0,147.0
147.0,155.0
147.0,147.0
147.0,147.0
147.0,147.0
156.0,155.0
147.0,147.0
147.0,147.0
147.0,147.0
147.0,154.0
147.0,147.0
147.0,147.0
147.0,147.0
148.0,156.0
154.0,154.0
147.0,148.0
155.0,155.0
