Measurement,Real Time (us),Elapsed Time (us)
1,0.06,4
2,1.06,3
3,2.06,3
4,3.06,4
5,4.06,5
6,5.06,7
7,6.06,7
8,7.06,8
9,8.06,9
10,9.06,10
11,10.06,11
12,11.06,13
13,12.06,13
14,13.06,14
15,14.06,15
16,15.06,17
17,16.06,18
18,17.06,18
19,18.06,19
20,19.06,20
21,20.06,21
22,21.06,22
23,22.06,24
24,23.06,24
25,24.06,25
26,25.06,26
27,26.06,27
28,27.06,29
29,28.06,29
30,29.06,30
31,30.06,31
32,31.06,32
33,32.06,33
34,33.06,35
35,34.06,35
36,35.06,36
37,36.06,37
38,37.06,38
39,38.06,40
40,39.06,40
41,40.06,41
42,41.06,42
43,42.06,43
44,43.06,44
45,44.06,46
46,45.06,46
47,46.06,47
48,47.06,48
49,48.06,49
50,49.06,51
51,50.06,51
52,51.06,52
53,52.06,53
54,53.06,54
55,54.06,55
56,55.06,57
57,56.06,57
58,57.06,58
59,58.06,59
60,59.06,60
61,60.06,62
62,61.06,62
63,62.06,63
64,63.06,64
65,64.06,65
66,65.06,66
67,66.06,68
68,67.06,68
69,68.06,69
70,69.06,70
71,70.06,71
72,71.06,73
73,72.06,73
74,73.06,74
75,74.06,75
76,75.06,76
77,76.06,77
78,77.06,79
79,78.06,79
80,79.06,80
81,80.06,81
82,81.06,82
83,82.06,84
84,83.06,84
85,84.06,85
86,85.06,86
87,86.06,87
88,87.06,88
89,88.06,90
90,89.06,90
91,90.06,91
92,91.06,92
93,92.06,93
94,93.06,95
95,94.06,95
96,95.06,96
97,96.06,97
98,97.06,98
99,98.06,99
100,99.06,101
101,100.06,101
102,101.06,102
103,102.06,103
104,103.06,104
105,104.06,106
106,105.06,106
107,106.06,107
108,107.06,108
109,108.06,109
110,109.06,110
111,110.06,112
112,111.06,112
113,112.06,113
114,113.06,114
115,114.06,115
116,115.06,117
117,116.06,117
118,117.06,118
119,118.06,119
120,119.06,120
121,120.06,121
122,121.06,123
123,122.06,123
124,123.06,124
125,124.06,125
126,125.06,126
127,126.06,128
128,127.06,128
129,128.06,129
130,129.06,130
131,130.06,131
132,131.06,132
133,132.06,134
134,133.06,134
135,134.06,135
136,135.06,136
137,136.06,137
138,137.06,139
139,138.06,139
140,139.06,140
141,140.06,141
142,141.06,142
143,142.06,143
144,143.06,145
145,144.06,145
146,145.06,146
147,146.06,147
148,147.06,148
149,148.06,150
150,149.06,150
151,150.06,151
