Second,Volt
-4.00000000000,0.05600,
-3.99979996681,0.05600,
-3.99959993362,0.05600,
-3.99939990044,0.04800,
-3.99919986725,0.04800,
-3.99899983406,0.05200,
-3.99879980087,0.06800,
-3.99860000610,0.06000,
-3.99839997292,0.05200,
-3.99819993973,0.05200,
-3.99799990654,0.05200,
-3.99779987335,0.05200,
-3.99759984016,0.04000,
-3.99739980698,0.04800,
-3.99720001221,0.04800,
-3.99699997902,0.04400,
-3.99679994583,0.04400,
-3.99659991264,0.04000,
-3.99639987946,0.04400,
-3.99619984627,0.05600,
-3.99599981308,0.04800,
-3.99579977989,0.05600,
-3.99559998512,0.05600,
-3.99539995193,0.07200,
-3.99519991875,0.07200,
-3.99499988556,0.04800,
-3.99479985237,0.03600,
-3.99459981918,0.04000,
-3.99439978600,0.05600,
-3.99419999123,0.03600,
-3.99399995804,0.02800,
-3.99379992485,0.04800,
-3.99359989166,0.04800,
-3.99339985847,0.04800,
-3.99319982529,0.04800,
-3.99299979210,0.04800,
-3.99279999733,0.05200,
-3.99259996414,0.05200,
-3.99239993095,0.05200,
-3.99219989777,0.04800,
-3.99199986458,0.05200,
-3.99179983139,0.04800,
-3.99159979820,0.05200,
-3.99140000343,0.05600,
-3.99119997025,0.05200,
-3.99099993706,0.04800,
-3.99079990387,0.04800,
-3.99059987068,0.04800,
-3.99039983749,0.07200,
-3.99019980431,0.06800,
-3.99000000954,0.04800,
-3.98979997635,0.04800,
-3.98959994316,0.04400,
-3.98939990997,0.05200,
-3.98919987679,0.04800,
-3.98899984360,0.05200,
-3.98879981041,0.03600,
-3.98860001564,0.04400,
-3.98839998245,0.04400,
-3.98819994926,0.04800,
-3.98799991608,0.04800,
-3.98779988289,0.04400,
-3.98759984970,0.04800,
-3.98739981651,0.04800,
-3.98719978333,0.04800,
-3.98699998856,0.05600,
-3.98679995537,0.04400,
-3.98659992218,0.06800,
-3.98639988899,0.03600,
-3.98619985580,0.04800,
-3.98599982262,0.05200,
-3.98579978943,0.04000,
-3.98559999466,0.04400,
-3.98539996147,0.04800,
-3.98519992828,0.05200,
-3.98499989510,0.03600,
-3.98479986191,0.04800,
-3.98459982872,0.05200,
-3.98439979553,0.04800,
-3.98420000076,0.04800,
-3.98399996758,0.05600,
-3.98379993439,0.04400,
-3.98359990120,0.04800,
-3.98339986801,0.04800,
-3.98319983482,0.04800,
-3.98299980164,0.05200,
-3.98280000687,0.05600,
-3.98259997368,0.04800,
-3.98239994049,0.05200,
